type,number
odd,658483
even,18700
even,98822
even,865316
even,446878
odd,491723
even,214272
even,694516
even,565512
odd,259143
odd,547951
odd,758743
odd,978131
odd,245825
even,627788
even,445234
even,878320
odd,29693
even,515734
odd,881599
odd,530447
even,59760
odd,646257
even,119760
even,765828
even,967714
odd,499315
even,862006
even,755888
odd,632013
odd,67471
odd,472197
odd,418847
even,952644
even,303944
odd,832617
even,99220
even,895006
even,456944
odd,91541
even,268558
even,201242
odd,437319
even,202946
even,151018
even,608118
even,792916
even,270446
odd,194797
even,107484
even,65194
even,946208
even,239302
odd,130003
odd,119143
even,133098
odd,386865
odd,355281
odd,68237
even,873428
odd,743557
odd,107795
odd,336603
even,815084
odd,640643
odd,931095
odd,587517
even,662754
odd,552873
odd,783467
even,900986
even,459624
odd,753035
even,598514
even,777610
odd,676781
even,282000
odd,362969
odd,582127
even,608114
odd,36323
odd,773909
odd,230045
even,707212
odd,411647
even,203346
odd,652577
odd,511741
odd,228551
even,601192
odd,733119
odd,458003
odd,676747
odd,907123
even,616696
odd,38135
even,707768
odd,820387
even,130694
odd,593117
even,930656
odd,62593
even,636390
even,268066
even,537110
even,567740
even,929422
even,499250
even,151338
odd,435531
even,232594
even,160744
odd,438971
odd,101823
odd,589931
even,268474
even,988064
even,555264
even,633452
even,90442
even,200186
even,706308
even,210208
even,5514
odd,603637
odd,503179
odd,337497
odd,343881
even,620890
odd,251665
odd,228783
odd,676603
odd,807105
even,570778
odd,67513
even,223064
odd,696305
even,925864
odd,546633
odd,684475
odd,476349
odd,194099
even,392498
odd,448903
even,148888
odd,473571
even,238062
even,505106
even,670498
odd,122873
even,200170
odd,588111
even,162838
even,795164
even,887430
even,809400
even,190084
odd,245723
even,951282
odd,722573
even,549020
odd,908115
odd,816415
odd,502677
even,35704
even,320176
odd,151859
odd,61031
odd,974503
odd,540035
odd,711339
even,72976
even,938392
odd,798011
odd,628419
odd,464619
odd,151859
odd,276851
odd,376149
odd,684929
odd,425447
even,990502
even,822640
even,852836
odd,711507
odd,408951
odd,843123
odd,747617
odd,823469
even,797620
even,175646
even,580290
even,783806
even,701004
even,445200
even,83562
even,143540
even,368982
odd,942823
even,783500
odd,790277
odd,822779
even,365372
even,840464
even,144214
even,830190
even,488854
even,905128
even,561998
even,345086
odd,64169
even,326622
even,225220
even,442726
even,507842
odd,164373
even,21614
even,268670
even,323898
odd,352521
odd,942041
even,586834
even,551252
odd,971469
odd,883873
even,922810
even,749300
even,823648
odd,608839
even,900300
even,646620
odd,749449
odd,49527
odd,279481
odd,317237
odd,547303
odd,453475
even,393036
even,812240
even,462136
even,779594
odd,334099
odd,602511
odd,634207
odd,22301
odd,7181
odd,360999
odd,822197
odd,193727
odd,688065
odd,512185
odd,180093
odd,83373
even,457200
odd,783969
odd,272003
even,395922
odd,240791
odd,131873
even,627908
even,963162
odd,789317
even,77994
even,292714
odd,703973
even,262084
odd,32781
odd,816283
even,66628
even,498910
odd,729853
even,261560
odd,961279
even,251532
odd,674955
even,791408
even,551064
even,424576
odd,194497
odd,528717
odd,191761
even,39962
odd,218565
odd,508833
even,666302
even,132160
even,523478
odd,860577
even,597670
odd,938775
odd,837567
odd,836355
odd,383333
odd,954985
even,420368
even,964568
odd,710103
odd,342821
even,799716
even,804726
odd,13685
odd,171941
odd,439501
odd,679843
even,302894
even,832024
even,383958
odd,590903
even,862178
even,731318
odd,917459
odd,172079
even,940274
odd,261249
even,839138
even,236730
odd,460527
odd,532615
odd,359511
even,78974
even,121904
odd,879043
odd,68727
even,724348
even,470870
odd,179663
odd,646747
even,402960
odd,607017
odd,156393
even,837442
even,946110
odd,520417
even,220500
even,149206
odd,468337
even,811730
even,582404
odd,190303
even,78942
odd,56219
even,159292
even,393532
even,665728
even,416264
even,409380
even,183784
odd,390327
odd,505257
odd,208433
odd,78811
even,315444
even,489860
even,701482
odd,566897
odd,519613
even,37364
odd,422127
odd,368003
odd,218667
even,322032
even,533356
odd,283005
even,329160
odd,704909
odd,431337
even,880788
even,902456
even,125986
odd,655623
odd,90571
odd,808961
odd,563821
even,184192
odd,25481
odd,502845
odd,403467
even,991066
odd,275725
odd,968195
odd,323117
even,289068
even,817312
even,330504
odd,208121
even,425572
even,55760
even,80262
even,960572
odd,470137
even,802988
even,325252
odd,476179
even,147094
even,802222
odd,894187
odd,906065
odd,104495
even,598740
even,241978
even,565650
odd,746495
odd,15851
odd,20861
even,909264
even,553232
odd,191311
odd,553621
even,129580
even,258786
even,874250
odd,388965
odd,383315
odd,799315
odd,7979
odd,125575
even,863710
odd,598605
odd,587971
even,160590
even,13632
odd,759221
even,245274
odd,633257
odd,683685
odd,588779
even,147012
odd,645375
odd,778277
odd,281913
even,424662
even,807820
even,85150
even,219608
even,576336
even,645422
odd,527367
even,495372
odd,668469
odd,415661
odd,600433
odd,213897
even,163276
odd,510577
odd,796271
odd,200849
odd,374817
odd,143097
even,798768
even,471762
even,900026
odd,260459
even,196782
even,540350
odd,133343
even,216170
even,513234
even,967146
odd,620463
odd,135175
even,52464
even,788464
even,820732
even,300072
odd,467313
odd,728197
even,392044
even,117590
even,290862
odd,110083
odd,88735
even,221412
even,633178
odd,783587
odd,945125
odd,336437
even,201932
odd,140855
odd,586797
even,994892
odd,776789
odd,935267
odd,772837
even,938484
odd,40065
odd,758287
even,143932
odd,889957
even,419994
odd,300905
even,674598
odd,273787
even,443262
odd,582863
even,765274
odd,902451
even,233058
odd,55269
even,884602
even,274752
even,872172
even,174252
even,690666
odd,748495
odd,284859
even,219064
odd,709319
odd,311997
even,655218
odd,208795
even,159680
odd,336911
even,484434
even,307938
even,488970
odd,876215
even,992156
even,353596
odd,39703
even,585132
even,975132
even,702548
even,300298
odd,957083
even,340922
odd,715029
even,39246
odd,516161
even,901486
odd,434027
even,430302
even,1830
odd,612037
even,828262
odd,356661
odd,337653
even,894234
odd,870729
even,463332
odd,203889
odd,530919
even,444656
odd,639219
even,504240
odd,611739
even,537246
even,655320
even,6096
odd,134605
even,766126
even,845240
odd,333421
even,438982
odd,69919
odd,950595
odd,680841
even,433506
even,570958
odd,76961
even,990112
even,165828
even,949172
even,650700
odd,93531
odd,707125
even,977928
odd,448571
odd,366141
odd,467441
even,989580
even,938748
odd,926439
even,312972
odd,136961
even,659152
even,561934
odd,168435
odd,29181
even,47098
even,408990
odd,252555
even,732396
even,172904
odd,562085
even,776398
odd,833717
odd,805715
even,571408
even,105058
odd,130553
even,175546
even,14154
odd,261201
even,710704
odd,629289
odd,790077
odd,164027
odd,45999
odd,864767
odd,429739
even,866848
even,2770
odd,737887
odd,600887
even,466042
odd,459619
odd,58685
odd,933757
even,606038
even,1312
even,467284
odd,158767
even,423938
odd,847389
even,524060
odd,224135
odd,341699
odd,175799
odd,603117
even,388852
odd,645841
even,641592
odd,397125
odd,386305
odd,864581
even,173788
even,655902
even,733864
odd,284653
even,430314
even,123220
even,200528
odd,419075
odd,517943
odd,618925
even,142198
odd,828867
odd,28483
odd,624999
even,532278
even,376466
even,686192
odd,104511
odd,310185
even,315266
even,784872
even,68286
even,769782
even,947716
odd,521055
even,415036
even,90544
odd,837567
odd,459521
even,222072
odd,959559
even,416498
even,690818
even,12220
even,608320
odd,434753
odd,400955
odd,602247
even,453522
even,943780
odd,709089
even,111828
even,125184
even,379938
odd,768561
even,395996
odd,839811
even,650838
even,517000
even,174200
even,502660
even,428390
even,928328
even,501750
even,512448
odd,907505
odd,742457
even,368724
odd,640253
odd,716873
odd,457173
even,886998
odd,953665
even,454552
odd,807665
odd,485913
odd,390137
odd,833229
even,634320
even,525034
even,402682
even,882048
odd,451869
odd,828767
even,740414
odd,245677
odd,259177
even,680062
odd,294613
odd,454251
even,160958
odd,536855
even,204084
odd,143207
even,253436
even,440724
even,11054
odd,942871
odd,586399
odd,516915
odd,843465
odd,752759
even,21276
odd,332465
odd,631637
odd,683067
even,28946
odd,797141
even,859116
even,458408
even,595200
odd,115107
even,874094
even,946606
even,261670
odd,803951
odd,553321
odd,297025
even,202720
even,394464
odd,855629
even,271914
odd,570821
odd,869883
odd,563339
even,99674
odd,899085
even,275740
even,553706
odd,867081
odd,718169
odd,792365
odd,740057
even,787002
odd,236555
odd,484667
odd,951973
odd,336851
odd,267621
even,632714
odd,649131
even,601802
even,175722
odd,805743
odd,477723
even,674948
odd,148685
odd,84651
odd,420643
odd,894215
even,985602
odd,149547
even,405514
odd,450409
even,509778
odd,84821
odd,591997
even,712800
odd,118339
odd,188395
odd,619943
even,746266
odd,183043
odd,875875
even,670038
odd,496047
even,554228
even,390484
odd,912671
odd,129019
odd,147751
odd,22963
even,322010
even,668614
even,751560
odd,123377
even,709088
even,821444
odd,410101
odd,422545
odd,50467
odd,721223
odd,959905
even,122942
even,850104
odd,930275
odd,172955
even,900396
odd,339061
odd,707889
odd,48039
odd,552787
even,679560
even,969206
odd,861543
even,649764
even,158390
odd,876451
odd,886107
even,394578
odd,316199
odd,107347
odd,987929
odd,824957
even,363756
odd,514129
even,338658
odd,286351
odd,415713
even,463224
even,398368
odd,262605
odd,975295
even,389694
odd,684821
even,560808
even,288238
even,38934
even,211032
odd,3359
even,154234
odd,684273
odd,235863
odd,802013
odd,404675
odd,758215
odd,635013
even,941594
odd,847425
odd,872211
even,684806
odd,201197
even,606094
odd,236613
odd,446949
odd,620575
odd,341133
odd,625895
odd,842563
odd,567375
odd,445039
even,718678
even,128928
even,21364
even,88256
odd,356659
odd,932561
even,212282
even,684982
odd,630785
even,529890
even,151086
even,235002
even,881504
odd,11917
odd,103801
odd,629305
even,459926
odd,448313
even,214172
odd,810563
odd,846539
odd,365025
even,207892
odd,111065
even,218152
even,82588
even,769064
even,895660
odd,320253
odd,324631
even,517950
even,828552
even,981000
even,593140
even,997564
odd,233807
odd,626349
odd,497583
odd,913545
even,399602
odd,193331
odd,684219
odd,577973
even,999218
even,748884
even,828794
odd,936849
even,647094
even,284196
even,844448
even,908776
even,898872
even,973872
even,198452
odd,564113
even,397750
odd,975811
odd,657503
even,224344
odd,977909
odd,727813
odd,71821
odd,30833
odd,354157
even,192860
even,138410
even,285634
even,296188
odd,900861
even,594274
odd,849719
even,261840
odd,625559
odd,640233
even,827374
odd,55949
odd,86949
even,226702
odd,268419
odd,855253
even,997578
odd,600617
even,129614
odd,973933
odd,99703
even,122582
odd,582429
odd,99947
odd,24849
odd,490153
even,728948
even,329290
even,313020
odd,994847
even,144450
even,639590
odd,898739
even,242118
even,22542
even,571856
odd,268187
even,575758
even,400916
even,424096
odd,274133
even,358432
odd,278975
odd,653939
odd,261637
odd,1475
even,392830
odd,199135
odd,861781
odd,44097
even,916184
even,535358
even,121620
odd,986097
odd,788289
odd,447789
even,816166
odd,947461
even,265490
odd,989879
odd,470099
even,73854
even,121942
odd,460133
even,559264
even,553632
even,818396
odd,405617
even,540650
even,454936
even,617304
even,186234
odd,684969
odd,169789
even,369540
even,531596
even,360872
odd,770723
odd,91055
odd,158503
odd,237119
even,311456
odd,35151
odd,601387
odd,878191
odd,478497
even,217698
odd,108845
odd,541599
odd,982151
even,977708
odd,810679
even,912096
even,868182
even,105118
odd,462721
odd,86093
even,269216
odd,637283
odd,730949
even,126760
even,462816
even,154354
odd,489345
odd,545235
even,297414
odd,113063
even,44214
odd,925713
odd,480073
even,616682
odd,53089
odd,256109
even,64688
even,799012
even,434978
even,972960
odd,370955
even,397950
even,876076
even,236670
even,232034
even,532582
odd,462079
even,37122
even,165202
odd,934581
odd,37245
odd,423313
even,765546
even,892530
even,488992
even,225052
odd,899741
odd,109539
even,777004
odd,721489
odd,533717
odd,941703
odd,342815
even,795760
even,768272
odd,572241
even,954134
odd,835255
even,667738
odd,144995
odd,167237
even,423576
even,439948
odd,580657
even,972158
even,434350
odd,840717
odd,412481
even,589358
even,4318
even,588976
even,751208
even,320850
even,958694
odd,779783
odd,949691
even,567820
even,322530
odd,434185
even,766110
odd,204015
odd,787717
odd,873447
even,474732
even,853836
even,419178
odd,896677
odd,725173
odd,180801
odd,527581
even,265284
even,622090
odd,58547
odd,413369
even,943008
odd,405155
even,176964
odd,185213
even,871522
odd,469881
odd,140161
even,998430
odd,89591
even,897534
odd,479387
odd,16941
even,863092
even,35886
even,375788
even,42844
odd,515897
even,475074
even,119268
even,517166
odd,555683
odd,803301
odd,447041
odd,960661
even,485908
even,59600
odd,589565
even,158706
odd,777519
even,523060
even,663146
odd,653449
odd,659787
odd,374833
even,812938
even,298586
even,727840
odd,333597
even,138376
odd,19995
odd,118541
even,265210
odd,995849
odd,419189
odd,337345
odd,894283
odd,453149
odd,157097
even,595432
even,446728
even,399942
odd,797683
even,60264
even,4934
odd,604829
even,756002
even,362216
odd,587101
even,207274
odd,315497
odd,351069
even,81232
even,908208
even,871972
odd,10887
odd,496441
even,603494
odd,641199
even,331276
odd,382411
even,216654
even,77954
odd,849317
odd,792173
odd,97153
odd,903247
odd,971377
odd,794659
even,134176
odd,678625
odd,714053
odd,284291
even,51248
odd,146923
odd,878283
even,140762
even,485272
odd,153841
even,888736
odd,956757
odd,144835
odd,534307
odd,102985
odd,459215
even,743150
even,727862
odd,416293
even,227504
even,958184
even,633736
even,305380
even,501950
even,153020
even,807408
odd,513157
odd,500637
even,174606
even,337768
even,954196
even,106838
even,465844
odd,988555
odd,630045
even,20718
even,528326
even,102796
odd,727779
odd,451949
even,201560
odd,492449
odd,714891
even,497700
even,208958
even,156496
odd,525453
even,811272
even,819118
odd,998585
odd,40403
odd,685169
even,736888
odd,62907
odd,950417
odd,717587
even,50294
odd,426765
odd,973313
even,380974
odd,5889
odd,478161
odd,714303
odd,816815
even,279936
odd,382767
odd,316495
even,639196
even,429708
even,173706
odd,515301
odd,474907
odd,36809
odd,289337
even,110622
odd,377871
even,823932
even,567770
odd,853369
even,192800
odd,864387
odd,429271
even,834456
odd,607127
even,754448
even,615480
even,278374
odd,476473
odd,715399
even,538044
odd,349243
even,702742
even,523216
even,242556
even,623780
even,882876
odd,83635
even,162120
even,735896
even,906702
odd,35855
odd,301653
odd,361381
odd,271651
even,838648
even,569094
even,499572
even,945990
even,560122
odd,857051
odd,215325
even,383866
odd,122347
odd,11913
even,93746
even,646804
even,391320
even,407068
odd,421387
even,251166
even,137664
even,988092
odd,746203
even,12978
even,219778
odd,853061
odd,87401
odd,988281
even,974302
odd,555809
even,947154
even,687082
even,235750
odd,738069
even,538638
even,619990
even,600908
even,417204
odd,731835
even,794610
even,572060
odd,10445
even,477872
even,772518
odd,635615
even,722388
even,407672
even,902834
odd,235249
even,338140
even,613530
even,545542
even,328194
even,175314
odd,62459
even,164724
even,784174
even,940420
odd,54407
even,47838
even,1858
odd,261851
even,673462
odd,354759
odd,221379
even,381766
odd,55413
odd,501797
odd,450419
even,622100
even,982814
odd,787429
even,986108
odd,632643
even,180266
odd,285903
even,993438
even,106452
odd,846025
even,501352
even,267820
odd,910313
odd,248209
even,803080
even,723984
even,133312
even,692968
even,144816
even,998140
odd,173775
even,366342
odd,215459
odd,56001
odd,525203
even,772312
odd,892513
even,287616
even,535652
odd,710311
odd,636883
odd,629147
even,677770
odd,548149
even,314024
even,134302
odd,243837
even,334038
odd,141965
even,710374
odd,948321
even,510024
odd,17645
even,917932
even,148304
odd,750907
even,827082
odd,26919
even,710570
even,319426
even,435464
even,184794
even,893034
odd,80169
even,901500
even,67466
odd,354719
odd,282543
even,569076
odd,328383
even,156132
even,797944
odd,91617
odd,678241
odd,22165
even,823226
even,25566
odd,383005
odd,186247
odd,385235
even,382398
even,720836
odd,781093
odd,725739
even,480060
even,934364
even,554886
odd,672035
even,662426
odd,556823
even,296074
odd,878903
even,866884
even,858606
even,914908
odd,291983
even,721490
odd,920747
even,895896
odd,738127
odd,910531
odd,876781
odd,663423
even,160480
odd,463685
even,477750
odd,129067
even,433212
odd,917453
even,472130
odd,998269
even,31974
even,801938
odd,664725
even,201938
odd,29141
odd,456833
odd,359425
odd,86255
odd,906885
odd,387697
odd,999433
odd,521175
even,322820
even,550320
even,490746
even,362194
even,301020
odd,432803
odd,270247
odd,384983
odd,16271
even,236906
odd,566193
even,942616
even,896380
even,305668
even,951500
even,300670
odd,857621
even,197300
even,716462
even,874002
odd,867063
odd,756983
odd,87655
odd,245833
odd,313423
even,753274
even,494394
odd,429099
even,37878
even,620278
odd,424043
odd,118535
even,328644
even,208694
even,207748
even,197396
odd,808329
even,926090
even,338068
even,725138
even,491302
even,876976
odd,247061
even,917828
even,845150
even,328836
even,67718
odd,462337
odd,273619
odd,276755
odd,241587
even,64832
even,204512
even,638224
odd,743777
even,146900
odd,459525
odd,41033
odd,987507
even,240306
odd,692777
even,905994
even,971052
even,916954
odd,256269
even,287228
odd,698603
even,27508
even,478692
even,22702
odd,914535
even,127268
odd,407607
even,657416
even,127484
even,208326
even,228544
even,668818
odd,750217
odd,106801
even,965194
even,466740
even,671190
even,479374
even,448596
even,996450
even,839744
even,836466
even,995762
even,181436
odd,57829
odd,761801
even,586536
odd,232127
even,989384
odd,310707
odd,844249
even,932498
even,171316
even,337534
odd,613613
even,983292
even,983832
odd,22839
even,894920
odd,697291
even,79306
odd,772673
odd,82159
even,250240
odd,486193
even,884282
even,551332
odd,391339
even,335572
odd,345199
even,825486
even,732572
odd,769717
even,266674
odd,976741
even,466064
even,114314
odd,886733
even,705148
odd,247259
odd,856369
even,629054
odd,969377
odd,132359
odd,633455
odd,332713
even,263152
even,333568
odd,503665
odd,580437
even,315288
even,641804
even,640158
even,730632
odd,670723
even,8264
odd,56573
even,609310
even,985388
even,507832
odd,732441
odd,936451
odd,690889
even,702884
even,422096
even,347996
odd,270931
odd,454465
even,961762
even,707968
odd,975881
odd,772249
odd,996653
odd,70851
even,283194
odd,767275
even,789250
even,234224
odd,768789
odd,57439
even,103398
odd,192061
odd,366877
even,592590
even,719234
odd,615845
odd,608357
even,628178
odd,527219
even,494826
odd,455625
odd,187883
even,340522
odd,572829
even,603668
even,651112
even,10632
even,672426
odd,447159
odd,951199
odd,976243
odd,173469
odd,478791
odd,191083
odd,655571
even,194930
odd,988615
even,415570
even,16720
odd,83669
even,460616
even,835834
odd,300849
odd,781275
even,833394
even,433684
even,633508
even,64134
even,76958
odd,759135
odd,896101
odd,620849
odd,441375
even,691734
odd,694725
even,899820
odd,59199
even,113190
even,983020
odd,667879
odd,666791
even,706496
odd,658719
even,356806
odd,17887
even,972090
even,535740
even,299872
even,23230
odd,870677
odd,60379
even,637658
even,674076
even,243620
even,539026
even,502960
even,904354
odd,180133
odd,430895
even,150222
even,471216
odd,800389
odd,415113
odd,938705
even,871430
even,706578
even,831588
even,780484
even,425630
odd,411085
odd,378093
odd,82763
even,578304
odd,23965
even,488550
odd,655579
odd,611121
even,613362
odd,735851
odd,476665
odd,697135
even,336652
odd,464809
odd,988667
even,933366
odd,665983
even,666866
odd,474157
even,66708
even,253786
even,536260
odd,14921
odd,366479
odd,233303
odd,158061
odd,922035
even,170666
odd,763789
odd,521023
odd,35391
even,613730
odd,596389
even,575584
even,598522
even,828124
odd,465799
even,203986
even,835002
even,951414
odd,538837
even,326634
odd,744891
even,474848
even,819844
even,27830
even,783844
odd,172931
even,917094
even,754294
odd,370739
odd,181187
even,842688
even,969932
even,653696
even,520750
odd,590673
odd,434619
even,360798
odd,334421
even,202812
odd,216757
even,576240
odd,812031
even,289920
even,666958
even,988288
even,470504
even,993780
odd,511073
even,268220
odd,296837
odd,149859
even,317846
odd,157223
odd,147639
odd,700609
odd,831213
odd,354353
odd,214323
odd,941581
even,68616
even,484838
odd,254209
even,842492
even,357540
even,473418
odd,477691
odd,986849
even,43864
even,549132
even,866994
even,582508
odd,611805
odd,701237
odd,713837
odd,93761
odd,102203
odd,277577
odd,903281
even,667918
even,12822
odd,414773
odd,730743
odd,347479
even,469340
even,325292
odd,402777
even,980098
even,637806
odd,63537
odd,159935
odd,769215
even,200710
even,92792
odd,271253
even,275810
even,773856
odd,833677
even,885078
odd,979455
even,566420
odd,457109
even,656070
odd,670993
odd,643017
even,822580
odd,569405
odd,793717
odd,755889
odd,305511
even,569028
odd,248283
even,728478
odd,213941
odd,444067
even,9236
odd,989213
odd,683643
even,268816
even,699576
odd,770415
even,538882
even,823204
odd,970303
odd,748491
odd,967341
odd,675951
odd,474197
odd,527387
odd,83531
odd,483925
odd,381209
even,342110
even,682918
even,189440
even,131314
odd,506047
even,891646
odd,786531
even,832864
even,884674
odd,584741
even,816168
even,455570
odd,661445
even,788094
odd,164941
odd,782645
even,457098
odd,34591
odd,281805
odd,409495
odd,887831
odd,130249
even,911314
odd,947195
odd,195569
odd,786107
even,529754
even,747210
odd,450721
even,717530
even,411514
even,721796
even,831862
even,928094
odd,398617
even,841436
odd,969843
odd,170937
even,268658
even,257420
even,983660
odd,153003
odd,760067
odd,715293
odd,75189
even,828324
even,881074
even,384776
odd,735165
even,484030
even,842268
odd,991899
odd,625831
even,707422
even,137260
even,921588
even,235570
odd,808697
odd,579431
odd,243513
odd,64965
odd,55763
even,49472
odd,169821
even,47738
even,841702
even,239714
even,189236
odd,461815
even,793988
odd,351115
odd,442143
odd,291453
odd,890863
even,802148
even,465954
even,485006
even,221836
odd,121415
even,662058
even,356846
odd,766943
even,850332
odd,486705
odd,979001
odd,573901
odd,725325
even,254776
even,844510
even,738538
even,127850
odd,138455
odd,388997
even,29898
odd,928427
even,214532
odd,877499
odd,791899
even,427518
even,935498
odd,404971
odd,816961
even,529058
odd,448743
even,745992
odd,298943
odd,59399
odd,154989
odd,707065
even,310440
odd,342575
odd,529409
even,507652
even,638856
odd,472337
odd,720517
odd,553459
even,514712
even,600644
odd,786763
even,599230
even,557066
even,773098
even,841626
odd,978185
odd,588111
even,930934
even,854676
even,778248
even,100030
even,711602
even,865296
even,792316
odd,363611
odd,623045
odd,84355
odd,234487
even,886212
odd,159995
even,408818
even,316678
even,313320
even,138926
odd,127531
even,143442
odd,976515
even,713180
odd,448587
even,318078
even,458322
odd,826971
even,361286
even,580352
odd,330555
even,34824
odd,765983
odd,287061
even,763708
odd,252645
odd,727951
odd,315775
odd,344813
odd,223097
even,858610
even,595380
odd,615517
even,984842
odd,962615
even,910060
odd,250427
odd,990321
odd,815537
odd,724103
odd,637469
odd,416295
odd,83693
even,463672
odd,698969
odd,941265
even,756086
odd,110131
odd,792525
odd,564587
even,304994
even,786124
even,240532
even,620734
odd,10323
even,19588
even,689500
odd,542601
odd,773899
odd,958671
odd,877247
odd,891229
even,85930
even,390564
odd,799171
odd,669425
odd,919047
even,910250
odd,55027
odd,610289
even,538914
even,858936
even,483354
even,66844
even,974362
even,311246
even,968576
odd,144245
odd,879681
even,198356
odd,234335
even,839250
even,587790
odd,731909
odd,997035
even,255260
odd,340803
even,820506
even,715462
even,836554
even,789582
even,969798
even,560350
odd,985125
even,99166
even,872916
even,468332
odd,212143
odd,522285
even,926892
even,310162
odd,137041
odd,727521
odd,825841
odd,707973
odd,963795
odd,968839
even,724486
odd,716619
odd,550359
odd,2197
even,510176
odd,448845
even,83092
even,657578
odd,259295
odd,161045
odd,274737
odd,934437
even,989916
even,8570
odd,858753
even,17982
even,887732
even,191962
odd,82857
odd,48127
odd,465943
even,652854
odd,269601
odd,139347
odd,258903
odd,496551
even,772290
even,977414
odd,240397
even,678312
even,392708
even,75680
odd,535011
even,314550
odd,392159
even,548926
even,530310
odd,902263
odd,670613
odd,819483
odd,606741
odd,925897
even,369454
odd,330595
even,569202
odd,167365
even,157478
even,416234
odd,494085
odd,617759
odd,38651
even,857444
odd,373849
even,37924
odd,578519
even,10570
odd,80927
odd,164911
odd,405509
odd,879901
even,980560
odd,685843
even,923780
odd,948841
even,445358
even,931698
odd,897339
even,584410
even,879266
odd,767391
even,60168
even,887902
even,553590
even,210348
odd,910489
even,245878
odd,568493
even,565064
odd,653411
even,1874
odd,506861
even,286288
even,121320
even,445356
even,662738
even,98380
even,127328
odd,848143
odd,582877
even,579592
even,229178
even,494546
odd,631799
even,775206
even,447908
odd,898359
even,464974
even,27082
odd,843843
even,268496
odd,113343
even,589738
even,63194
even,63020
even,125092
odd,82433
even,55178
odd,584947
odd,893211
even,970418
even,740676
odd,382345
odd,1697
even,559292
even,971264
odd,599491
odd,711187
even,398194
odd,611091
odd,622373
even,722580
odd,128095
odd,533319
odd,774019
even,310598
even,807850
odd,398373
even,264866
even,193144
odd,389283
odd,480649
even,742328
odd,910385
odd,31197
even,369876
odd,722751
even,852746
odd,34155
odd,654407
even,283264
odd,761025
even,211356
even,328600
odd,208261
odd,426529
even,339062
odd,546473
even,886272
even,765106
even,557476
even,639746
odd,12691
odd,615467
even,658232
odd,867429
even,486942
even,370982
even,657952
even,183564
odd,233833
odd,476191
even,752116
odd,815617
even,799036
odd,728961
odd,564739
odd,168411
odd,362267
even,801530
even,518216
odd,296597
odd,501805
even,123672
odd,787081
even,151484
even,201248
odd,614745
odd,296287
even,158104
odd,963265
odd,316631
even,570234
even,809802
odd,334371
even,566592
even,193672
odd,765113
even,296596
even,851562
odd,639807
even,82822
odd,118811
even,893868
even,415512
odd,832991
odd,501737
even,812380
even,250252
odd,415317
even,275202
odd,864119
even,904410
odd,886953
even,558620
odd,249459
even,688042
even,981784
even,906284
even,429106
even,822362
even,293878
even,326274
odd,822099
even,386094
even,39706
odd,678163
odd,465479
odd,414515
even,891384
even,817798
even,154970
even,36890
odd,810989
odd,751963
even,767258
even,211046
odd,283459
odd,669001
odd,583433
odd,286763
odd,4465
odd,658253
even,630048
odd,890983
odd,477805
odd,217687
even,178640
even,53644
odd,472379
odd,242725
odd,354643
even,136248
odd,563859
even,894712
odd,221187
even,191882
odd,519219
odd,307403
odd,576297
odd,658287
odd,886381
odd,952193
odd,381913
odd,166909
even,870780
even,787028
even,940616
even,356990
even,405586
even,453406
odd,485377
